Title,Author,Publisher,Date Read,Rating,My Rating,Category,Pages
"Co robić przed końcem świata",Tomasz Stawiszyński,Agora,2022-07-30,6.7,7,publicystyka literacka | eseje,360
"Człowiek w poszukiwaniu sensu",Viktor E. Frankl,Czarna Owca,2022-07-23,7.9,7,biografia | autobiografia | pamiętnik,224
"Pestki",Anna Ciarkowska,Otwarte,2022-07-24,7.6,8,literatura piękna,232
"Wypiór",Grzegorz Uzdański,Filtry,2022-05-27,7.2,8,poezja,216
"Od jednego Lucypera",Anna Dziewit-Meller,Wydawnictwo Literackie,2022-05-23,7.5,8,powieść historyczna,299
"Ludzie Putina. Jak KGB odzyskało Rosję i zwróciło się przeciwko Zachodowi",Catherine Belton,Sine Qua Non,2022-04-17,7.5,9,historia,659
"Grażyna",Adam Mickiewicz,Greg,2022-04-10,5.6,7,klasyka,64
"Wolność, równość, przemoc. Czego nie chcemy sobie powiedzieć",Agata Sikora,Karakter,2022-03-21,7.1,7,publicystyka literacka | eseje,256
"Na ciężkim kacu. Nowa Rosja Putina i duchy przeszłości",Shaun Walker,Wydawnictwo Poznańskie,2022-03-14,7.1,7,reportaż,444
"Najada",Zyta Oryszyn,Wydawnictwo Drzazgi,2022-02-27,7.5,8,literatura piękna,180
"Normalni ludzie",Sally Rooney,W.A.B.,2022-02-20,6.4,8,literatura piękna,304
"One Last Stop",Casey McQuiston,Prószyński i S-ka,2022-02-13,7.0,7,literatura młodzieżowa,512
"Bowie w Warszawie",Dorota Masłowska,,2022-02-06,6.3,8,literatura piękna,
"Trick Mirror: Reflections on Self-Delusion",Jia Tolentino,Penguin Random House,2022-02-05,6.3,6,publicystyka literacka | eseje,320
"Nie tylko pomarańcze...",Jeanette Winterson,Rebis,2022-01-31,6.3,8,literatura piękna,192
"Utopia regulaminów. O technologii, tępocie i ukrytych rozkoszach biurokracji",David Graeber,Krytyka Polityczna,2022-01-30,6.8,7,nauki społeczne (psychologia | socjologia | itd.),320
"Hazards of Time Travel",Joyce Carol Oates,4th Estate,2022-01-14,6.0,6,literatura piękna,324
"Choroba jako metafora. AIDS i jego metafory",Susan Sontag,Karakter,2022-01-09,7.6,8,publicystyka literacka | eseje,192
